CSE 1104,INTRODUCTION TO ENGINEERING,001-LEC(81773),Mo 4:00PM - 4:50PM,NH  100,Linda S Barasch,08/22/2013 - 12/04/2013
CSE 1104,INTRODUCTION TO ENGINEERING,002-LEC(81774),Tu 9:30AM - 10:20AM,NH  100,Linda S Barasch,08/22/2013 - 12/04/2013
CSE 1104,INTRODUCTION TO ENGINEERING,003-LEC(81775),Tu 4:00PM - 4:50PM,NH  100,Linda S Barasch,08/22/2013 - 12/04/2013
CSE 1105,INTRODUCTION TO COMPUTER SCIENCE AND ENGINEERING,001-LEC(85175),Th 1:00PM - 1:50PM,SH  101,Eric W Becker,08/22/2013 - 12/04/2013
CSE 1105,INTRODUCTION TO COMPUTER SCIENCE AND ENGINEERING,002-LEC(85176),We 3:00PM - 3:50PM,GACB105,Eric W Becker,08/22/2013 - 12/04/2013
CSE 1105,INTRODUCTION TO COMPUTER SCIENCE AND ENGINEERING,003-LEC(85177),Th 11:00AM - 11:50AM,PKH 319,Eric W Becker,08/22/2013 - 12/04/2013
CSE 1301,COMPUTER LITERACY,001-LEC(81776),TuTh 12:30PM - 1:20PM,NH  105,Dongchul Kim,08/22/2013 - 12/04/2013
CSE 1301,COMPUTER LITERACY,002-LEC(81777),MoWeFr 11:00AM - 11:50AM,GACB105,Dongchul Kim,08/22/2013 - 12/04/2013
CSE 1310,INTRODUCTION TO COMPUTERS & PROGRAMMING,001-LEC(81781),MoWe 4:00PM - 5:20PM,COBA149,Gian-Luca Mariottini,08/22/2013 - 12/04/2013
CSE 1310,INTRODUCTION TO COMPUTERS & PROGRAMMING,002-LEC(81783),MoWe 10:30AM - 11:50AM,NH  111,Darin Brezeale,08/22/2013 - 12/04/2013
CSE 1310,INTRODUCTION TO COMPUTERS & PROGRAMMING,003-LEC(81784),MoWeFr 1:00PM - 1:50PM,NH  112,Alexandra Stefan,08/22/2013 - 12/04/2013
CSE 1310,INTRODUCTION TO COMPUTERS & PROGRAMMING,004-LEC(81785),TuTh 2:00PM - 3:20PM,ERB 130,Farhad A Kamangar,08/22/2013 - 12/04/2013
CSE 1310,INTRODUCTION TO COMPUTERS & PROGRAMMING,005-LEC(87265),TuTh 9:30AM - 10:50AM,NH  229,Alexandra Stefan,08/22/2013 - 12/04/2013
CSE 1310,INTRODUCTION TO COMPUTERS & PROGRAMMING,006-LEC(87341),TuTh 11:00AM - 12:20PM,NH  109,Alexandra Stefan,08/22/2013 - 12/04/2013
CSE 1310,INTRODUCTION TO COMPUTERS & PROGRAMMING,007-LEC(89547),TuTh 11:00AM - 12:20PM,GS  202,Farhad A Kamangar,08/22/2013 - 12/04/2013
CSE 1311,INTRODUCTORY PROGRAMMING FOR ENGINEERS & SCIENTISTS,001-LEC(81786),MoWe 4:00PM - 5:20PM,GS  104,Sajib Datta,08/22/2013 - 12/04/2013
CSE 1311,INTRODUCTORY PROGRAMMING FOR ENGINEERS & SCIENTISTS,003-LEC(81787),TuTh 3:30PM - 4:50PM,NH  203,Ishfaq Ahmad,08/22/2013 - 12/04/2013
CSE 1320,INTERMEDIATE PROGRAMMING,001-LEC(81788),TuTh 2:00PM - 3:20PM,GACB105,Sk. Kajal Arefin Imon,08/22/2013 - 12/04/2013
